Sold,Total,Day,Event,EventLetter,ShortName,Title
116,197,1,1,A,Prices,A. Prices
189,197,1,2,B,Geopolitics,B. Geopolitics
188,197,1,3,C,GoodGrowth,C. GoodGrowth
173,197,1,4,D,Costs,D. Costs
120,220,1,5,E,Haldane,E. Haldane
46,197,2,6,F,Tech,F. Tech
57,197,2,7,G,BoomBust,G. BoomBust
0,197,2,8,H,Machin,H. Machin
53,197,2,9,I,Data,I. Data
73,200,2,10,J,Crypto,J. Crypto
124,197,3,11,K,Econ2030,K. Econ2030
143,197,3,12,L,CentralBanks,L. CentralBanks
0,197,3,13,M,AnyQuestions,M. AnyQuestions
153,220,3,14,N,Harford,N. Harford
